CUSTOMER, ORDER, LINEITEM, PART, SUPPLIER, PARTSUPPLIER, #TUPLES
4034, 2372, 9463, 9958, 1000, 10816, 10000
7587, 5415, 21729, 16728, 1000, 22550, 20000
11118, 8190, 32959, 19672, 1000, 32353, 30000
14222, 11555, 46395, 20000, 1000, 42947, 40000
15000, 15604, 62556, 20000, 1000, 54386, 50000
15000, 20175, 80863, 20000, 1000, 64484, 60000
15000, 25321, 101695, 20000, 1000, 72332, 70000
15000, 30000, 120512, 20000, 1000, 78337, 80000
15000, 30000, 120564, 20000, 1000, 80000, 90000
15000, 30000, 120429, 20000, 1000, 80000, 100000
15000, 30000, 120116, 20000, 1000, 80000, 110000
15000, 30000, 119990, 20000, 1000, 80000, 120000
15000, 30000, 119863, 20000, 1000, 80000, 130000
15000, 30000, 119798, 20000, 1000, 80000, 140000
15000, 30000, 120057, 20000, 1000, 80000, 150000
15000, 30000, 119963, 20000, 1000, 80000, 160000
15000, 30000, 120291, 20000, 1000, 80000, 170000
15000, 30000, 120731, 20000, 1000, 80000, 180000
15000, 30000, 120366, 20000, 1000, 80000, 190000
15000, 30000, 120581, 20000, 1000, 80000, 200000
